Order ID,Symbol,Type,Trade Type,Entry Price,Exit Price,Quantity,PnL,Return %,Max Profit,Min Profit,Avg Profit,Avg Loss,Capital Used,Entry Time,Exit Time,Exit Reason
235,NSE:NIFTY2611325700CE,LONG,PAPER,93.20,86.60,2140,-14124.00,-7.08%,+0.00,-14124.00,-,-14124.00,199448,2026-01-14 08:05:05,2026-01-14 08:05:05,Microstructure: Volume spike with price rejection
236,BSE:SENSEX2611483600CE,LONG,PAPER,468.10,450.30,420,-300.00,-3.80%,+0.00,-7476.00,-,-7476.00,196602,2026-01-14 08:05:05,2026-01-14 08:05:05,Hard stop loss hit
237,NSE:FINNIFTY26JAN27600CE,LONG,PAPER,266.85,262.25,725,-300.00,-1.72%,+0.00,-3335.00,-,-3335.00,193466,2026-01-14 08:05:05,2026-01-14 08:05:05,Hard stop loss hit
238,NSE:NIFTY2611325700CE,LONG,PAPER,86.60,84.35,2300,-300.00,-2.60%,+0.00,-5175.00,-,-5175.00,199180,2026-01-14 08:05:05,2026-01-14 08:05:05,Hard stop loss hit
239,BSE:SENSEX2611483600CE,LONG,PAPER,450.30,438.65,420,-4893.00,-2.59%,+0.00,-4893.00,-,-4893.00,189126,2026-01-14 08:05:05,2026-01-14 08:05:05,Microstructure: Volume spike with price rejection
240,NSE:FINNIFTY26JAN27600CE,LONG,PAPER,262.25,261.50,750,-300.00,-0.29%,+0.00,-562.50,-,-562.50,196687,2026-01-14 08:05:05,2026-01-14 08:05:05,Hard stop loss hit
241,NSE:NIFTY2611325700CE,LONG,PAPER,84.35,75.65,2360,-300.00,-10.31%,+5074.00,-20532.00,+3540.00,-20532.00,199066,2026-01-14 08:05:05,2026-01-14 08:05:06,Breakeven stop hit (protected capital)
242,BSE:SENSEX2611483600CE,LONG,PAPER,438.65,409.55,455,-300.00,-6.63%,+1137.50,-13240.50,+887.25,-13240.50,199585,2026-01-14 08:05:05,2026-01-14 08:05:06,Breakeven stop hit (protected capital)
243,NSE:FINNIFTY26JAN27600CE,LONG,PAPER,261.50,285.30,750,+17850.00,+9.10%,+23625.00,+0.00,+13775.00,-,196125,2026-01-14 08:05:05,2026-01-14 08:05:10,Drop in percentage: 2.94% drop from peak profit (12.05% → 9.10%)
244,NSE:NIFTY2611325700CE,LONG,PAPER,75.65,97.00,2640,+56364.00,+28.22%,+59664.00,+0.00,+41404.00,-,199716,2026-01-14 08:05:06,2026-01-14 08:05:08,Drop in percentage: 1.65% drop from peak profit (29.87% → 28.22%)
